event	lumi	run	ele pt	tau pt	met	taudm	tauGM
92398019	40761	1	33.0508	33.8517	36.677	1	5
92410587	40766	1	38.9587	42.3789	52.3166	1	1
92637372	40866	1	32.6747	38.0454	31.3204	1	5
97330811	42937	1	37.0793	44.5636	12.6189	1	1
97337293	42940	1	29.6964	58.2129	25.6932	0	5
97339175	42941	1	28.162	38.6077	31.663	10	5
97341186	42942	1	80.7414	42.0588	28.9549	1	5
97342574	42942	1	36.1479	47.1519	12.9307	1	5
97345008	42943	1	71.8894	47.4314	37.2692	1	6
97345202	42943	1	25.1463	37.7526	22.3421	11	5
97345979	42944	1	35.1378	36.4833	11.2551	1	5
97355889	42948	1	39.4768	37.1287	63.5028	10	5
98223082	43331	1	73.6199	35.7448	18.9232	1	6
98223837	43331	1	37.524	30.6051	12.478	11	5
98224925	43331	1	56.7581	36.9445	35.3292	1	5
98225837	43332	1	39.5588	44.4732	15.2392	1	5
98230547	43334	1	52.1092	73.8024	66.5442	1	5
98236509	43336	1	28.7202	34.936	29.0417	10	5
98238398	43337	1	34.3561	70.7319	48.3543	10	5
100867748	44497	1	29.6408	34.7152	27.5215	1	5
100867735	44497	1	28.783	75.2577	12.1456	1	5
101261032	44671	1	30.053	37.2469	32.3612	0	5
102741181	45324	1	72.1119	34.1963	11.4228	1	1
102749305	45327	1	32.2957	31.8692	33.2663	1	5
102757063	45331	1	29.0888	33.8749	22.4368	11	5
102761045	45332	1	34.5441	52.62	25.2448	10	5
103238282	45543	1	32.0025	40.3716	79.0487	1	5
103239448	45543	1	28.4598	36.1196	23.2406	0	5
88373726	38986	1	28.5969	40.5006	30.7355	10	5
91062672	40172	1	29.8671	38.2376	20.0397	1	5
88676141	39119	1	29.5921	39.1908	26.6056	1	5
88692205	39126	1	34.0015	36.412	5.27225	1	5
88692774	39126	1	26.4891	43.1466	48.8124	1	5
89534206	39498	1	37.8747	44.1297	19.3342	1	5
89535918	39498	1	26.2463	57.2442	35.9098	1	5
89537102	39499	1	35.6254	39.3261	32.8427	10	5
89554062	39506	1	28.6792	34.6876	69.984	1	5
89559597	39509	1	29.5816	34.0713	14.9825	11	5
107996995	47642	1	36.1756	41.4382	31.0901	10	5
108005626	47646	1	25.6442	37.0674	25.5129	1	5
108008532	47647	1	32.6516	44.0997	14.4684	1	5
108008729	47647	1	69.7998	34.7993	10.5472	10	5
108014994	47650	1	29.7356	33.3444	14.018	11	5
108018416	47652	1	83.8599	56.3708	35.7833	10	5
108020906	47653	1	25.3921	44.8454	25.0617	0	5
108021963	47653	1	31.0307	43.8023	27.8649	11	5
108251340	47754	1	38.414	42.4393	18.0591	11	5
108260175	47758	1	30.2831	37.3423	88.7113	0	5
5430861	2396	1	35.8289	32.2124	6.94781	10	5
9275667	4092	1	38.2241	32.7224	43.4273	0	1
9276751	4093	1	42.9496	34.7948	23.436	0	1
9277968	4093	1	30.0415	41.9388	42.8436	10	5
9281858	4095	1	30.9886	32.0979	75.5223	1	5
9360654	4130	1	31.4926	79.7333	48.7281	0	5
9310133	4108	1	45.6258	47.1363	46.8825	10	5
9311998	4108	1	28.6302	38.4851	35.104	1	5
9346399	4124	1	35.096	31.08	76.1449	10	5
7849983	3463	1	26.0242	39.5505	88.6564	10	5
7850826	3464	1	48.3664	51.6029	18.2817	1	5
7851195	3464	1	41.1304	38.1632	31.5962	1	5
27597704	12175	1	28.0488	39.2125	27.3306	1	5
16943075	7475	1	32.1696	40.3818	53.8674	10	5
26271544	11590	1	34.7441	38.9693	37.068	10	6
26274286	11591	1	38.1533	34.3017	49.5235	0	5
11303554	4987	1	40.1047	67.145	27.2306	1	5
11312164	4991	1	31.7432	42.8051	16.9324	1	5
11332179	5000	1	25.4936	40.0186	48.598	1	5
11337179	5002	1	30.3897	31.7754	18.6067	1	5
11338078	5002	1	29.8018	42.3938	31.7115	1	5
11342650	5004	1	29.8619	38.8923	15.9539	0	5
11377732	5020	1	35.9378	30.5552	29.9409	10	5
11378111	5020	1	38.4504	35.121	15.1501	1	5
11382201	5022	1	31.9621	30.5144	18.513	1	5
11390333	5025	1	41.6249	52.6607	20.4879	1	1
14827973	6542	1	33.2799	30.7596	6.68189	10	5
16057373	7084	1	25.457	44.1466	50.223	1	5
44858672	19789	1	35.2587	35.0131	54.0523	0	5
44862209	19791	1	34.0814	30.6108	34.5943	1	5
44870269	19795	1	32.3963	36.3345	49.7317	1	5
44871268	19795	1	35.8769	35.7025	16.8467	1	5
44880140	19799	1	39.1926	36.9992	17.6745	10	5
45312680	19990	1	29.5031	35.0133	34.3542	1	5
45314116	19990	1	28.872	30.6824	1.12178	1	5
45319691	19993	1	25.3359	56.7806	84.5629	1	5
45355368	20009	1	35.9707	41.3268	37.9747	1	5
45360288	20011	1	54.3342	36.5291	14.6261	10	5
45361799	20011	1	31.7415	36.5939	16.3153	0	5
46368549	20455	1	37.0615	31.0959	14.5699	0	5
46424017	20480	1	28.5563	35.1551	39.0005	10	5
45596921	20115	1	28.8939	30.4825	30.7657	1	5
45603530	20118	1	36.6382	30.0371	38.6552	10	5
69562120	30687	1	25.7005	47.5846	19.8403	0	5
70462547	31084	1	57.7244	41.0084	47.0512	10	5
73461606	32407	1	30.3773	38.4515	5.64736	1	5
73463865	32408	1	26.7418	50.0116	46.7295	1	5
73468122	32410	1	28.8921	35.7107	21.6477	10	5
73473309	32412	1	29.1456	32.4584	27.3609	10	5
73478206	32415	1	53.7682	34.9341	38.5771	10	5
73479184	32415	1	48.8461	56.7905	35.3786	0	5
73479264	32415	1	39.0306	31.8048	50.7884	1	5
22538832	9943	1	30.6891	36.787	18.4141	10	5
22589692	9966	1	37.6267	41.4751	17.1577	10	5
22592213	9967	1	34.1459	33.0018	41.7296	10	5
28959155	12776	1	30.0518	36.5879	36.6675	10	5
29010541	12798	1	30.3384	40.2463	49.0898	0	5
34071708	15031	1	35.1112	33.4827	32.8687	11	5
34099826	15043	1	43.5606	35.2375	83.5304	1	5
55875833	24650	1	28.7183	45.5044	15.1806	11	5
55875976	24650	1	39.9679	35.7741	39.6721	11	6
55884005	24653	1	29.6186	53.2829	21.7299	1	5
56631806	24983	1	48.326	32.3027	67.0904	1	5
56632690	24983	1	30.8483	32.9972	42.2603	1	5
56712752	25019	1	32.8865	41.339	37.7015	0	5
56713621	25019	1	29.0386	34.4757	42.5361	0	5
56602096	24970	1	30.2915	35.3011	20.399	1	5
56604254	24971	1	37.3224	39.2463	29.4164	10	5
56608794	24973	1	37.2634	32.8858	5.19083	10	5
79017481	34858	1	34.2108	35.0568	23.0766	1	5
79757561	35185	1	32.3679	67.4317	93.1139	11	5
79794699	35201	1	38.495	43.955	29.5126	0	1
79767206	35189	1	33.3929	30.9701	22.1423	1	5
79772458	35191	1	47.9131	50.0197	17.0938	1	1
79773490	35192	1	49.0568	33.3671	11.515	1	1
79783747	35196	1	37.3952	40.4471	32.6774	1	5
94600575	41733	1	31.0974	47.7743	49.2273	10	5
94640642	41750	1	35.2713	46.5419	23.3193	1	5
24042724	10607	1	26.8119	50.6876	25.7713	11	5
25578799	11284	1	28.1453	33.5689	10.0201	1	5
25584177	11287	1	34.6627	35.8896	9.78833	1	5
25652770	11317	1	47.686	40.6071	25.6503	1	6
25653703	11317	1	55.0235	40.3543	40.6488	1	5
25654675	11318	1	34.2987	66.0043	49.2647	10	5
25708788	11342	1	53.133	32.1146	9.78022	1	1
25715744	11345	1	31.007	35.9232	11.2099	1	5
59992377	26465	1	25.2769	35.9058	11.262	1	5
60056874	26494	1	25.2952	37.6982	18.2343	10	5
47775270	21076	1	32.9041	39.5004	32.7021	1	5
47776052	21076	1	29.1623	34.003	118.034	1	5
51474855	22708	1	31.8528	39.9093	18.129	1	5
51191235	22583	1	39.0731	42.9488	85.3407	1	5
51192156	22583	1	53.1589	36.8478	24.5283	11	5
51199098	22586	1	38.3058	50.2021	14.4101	1	5
51270017	22618	1	26.3435	40.6498	39.7443	1	5
51720421	22816	1	42.7067	38.73	83.2909	0	5
51609555	22767	1	29.2519	31.3626	12.041	0	5
8846509	3903	1	36.2559	44.2344	34.8177	1	5
9156780	4040	1	35.2243	41.22	50.5635	0	5
13014075	5742	1	29.028	47.2132	26.7049	10	5
14584189	6434	1	31.3789	31.2664	8.14803	1	5
9384408	4140	1	29.5849	30.7593	24.007	1	5
12575457	5548	1	44.7511	38.4795	12.6227	1	1
12743164	5622	1	31.7485	38.4516	46.498	10	5
13018326	5743	1	31.4155	74.2785	38.582	1	5
13021115	5745	1	26.5746	59.0026	33.1773	10	5
13022018	5745	1	30.1446	35.9802	10.4031	1	5
14595381	6439	1	46.9332	40.6251	33.0177	11	5
16081203	7095	1	28.3405	32.3393	11.1841	10	5
16085480	7096	1	26.3841	35.6829	65.4855	0	5
16306704	7194	1	31.2849	32.6425	45.7305	1	5
60587724	26728	1	32.4118	33.0625	10.5493	1	5
60600055	26734	1	30.3697	38.209	36.9373	10	5
